t,x,y,z,dist_to_goal,min_dist_to_obs,step_count,qp_feasible
0.0,0.0,0.0,0.9974485415946975,4.242641454323001,1.114213562373095,0,True
0.020833333333333332,2.262168058038353e-06,2.261235549078638e-06,0.9941884817494826,4.242641468865,1.1142103638437304,1,True
0.041666666666666664,4.436464553169429e-05,4.4319175500210956e-05,0.9921995994213448,4.242585149087217,1.1141508534418623,2,True
0.0625,0.00021263056103995297,0.00021266973695664796,0.9910014692420497,4.24234949788534,1.1139128296483412,3,True
0.08333333333333333,0.000576243790629206,0.0005772895359592628,0.990296631886749,4.241836114315748,1.113397891135733,4,True
0.10416666666666666,0.0011431933948791665,0.001147234777618012,0.9898943263930771,4.241033149910861,1.1125939850833921,5,True
0.125,0.0019139295045485516,0.0019237314372890074,0.9896744237746485,4.239939624068031,1.111499926314244,6,True
0.14583333333333331,0.00293730261797616,0.002952288462623153,0.9895615097199842,4.238488971243121,1.1100489926214043,7,True
0.16666666666666666,0.004264898196844276,0.004276633958691854,0.989507015663154,4.236613906027044,1.1081737870886441,8,True
0.1875,0.005897685008971672,0.005890543935019381,0.9894809966901719,4.234318216308618,1.1058780257576875,9,True
0.20833333333333331,0.007809613847646201,0.007774872146071146,0.9894669623888461,4.2316339004720565,1.1031936668606732,10,True
0.22916666666666666,0.009999381332913844,0.009935832895508891,0.9894597322892501,4.2285574987547765,1.1001172379288537,11,True
0.25,0.01247158206951636,0.012365587310385374,0.9894513361345235,4.2250913251832545,1.0966510334901285,12,True
0.2708333333333333,0.015183115304572538,0.015017331498423934,0.989443704008601,4.221298947220247,1.0928586265769016,13,True
0.29166666666666663,0.018083868583048893,0.01785083213289976,0.9894473414741559,4.217244222572015,1.0888039015926145,14,True
0.3125,0.02117151061417133,0.02087469951958253,0.9894529721587723,4.212922734270768,1.0844824179722221,15,True
0.3333333333333333,0.02445006944415839,0.024103736650087536,0.9894576028316246,4.2083211737685735,1.0798808585627344,16,True
0.35416666666666663,0.02787327681453392,0.027502340173541407,0.9894714322917751,4.203497406575259,1.0750571131044886,17,True
0.375,0.03138400964251718,0.031023211896761462,0.989494236946968,4.1985252693724835,1.0700850165807505,18,True
0.3958333333333333,0.03497098184720111,0.03466504138255039,0.9895246085811457,4.193413672547973,1.0649734752755848,19,True
0.41666666666666663,0.03862830183313054,0.038431622228738416,0.9895604232035791,4.188164105629353,1.0597239746234917,20,True
0.4375,0.04230616873385568,0.042275235964097664,0.9896039633286733,4.18284552151756,1.054405477725504,21,True
0.4583333333333333,0.045954663270674635,0.04613689386095121,0.9896572181087401,4.17753492796876,1.0490950039890465,22,True
0.47916666666666663,0.049570473347870674,0.0500029973146408,0.9897174563701011,4.172244292739437,1.0438045208449616,23,True
0.5,0.053155929216325996,0.053865823842080836,0.9897769762639358,4.166977450341303,1.0385378491743233,24,True
0.5208333333333333,0.05668357113571734,0.0576883014674398,0.9898380979572954,4.161780027343719,1.033340624955447,25,True
0.5416666666666666,0.0601421402454759,0.06144986507687457,0.9898997273689044,4.156674529780314,1.0282353527543873,26,True
0.5625,0.06355402455996545,0.0651650125697507,0.9899629848590153,4.151634872167304,1.0231959486945053,27,True
0.5833333333333333,0.06692944943843682,0.06883702540365884,0.9900214239541199,4.146651517814813,1.0182128574643643,28,True
0.6041666666666666,0.07024702986878302,0.0724399663281306,0.990079017711359,4.141757916952064,1.0133195351981859,29,True
0.625,0.07350119057222383,0.07596675276236493,0.9901367988209258,4.136963015941858,1.0085249274934027,30,True
0.6458333333333333,0.07671833079023446,0.07943469634525331,0.9901964752374625,4.132235898342149,1.0037981128195141,31,True
0.6666666666666666,0.07991073645045427,0.08283734443831249,0.9902578210311508,4.127572431363514,0.9991349389713571,32,True
0.6875,0.08306240624954918,0.08616128162719619,0.990320234773149,4.122993415029665,0.9945561996414507,33,True
0.7083333333333333,0.08617656181042564,0.08944006077312779,0.9903834217545552,4.118472856211681,0.9900359216353085,34,True
0.7291666666666666,0.08927305142142274,0.09271378792621068,0.9904481895148337,4.113968367061111,0.9855317364757867,35,True
0.75,0.09233895140811835,0.095973086154328,0.9905148532634388,4.109495718193057,0.9810594209825882,36,True
0.7708333333333333,0.09535503679500963,0.09920033615915005,0.9905821172230803,4.105080967353422,0.9766450343881601,37,True
0.7916666666666666,0.09835107756738479,0.10242663499011087,0.9906501626020034,4.100681076861313,0.9722455442637918,38,True
0.8125,0.1013645123942077,0.10569043340881952,0.9907187915489565,4.096242387615655,0.9678072962721918,39,True
0.8333333333333333,0.10438452885780515,0.10898159099292525,0.9907878449351442,4.091779718134491,0.9633451141072871,40,True
0.8541666666666666,0.10739234715718282,0.11228146849595759,0.9908562294807044,4.087319532287145,0.9588854646429343,41,True
0.875,0.11041860373361818,0.11561411410733277,0.9909242526520761,4.082823159723614,0.9543896746025149,42,True
0.8958333333333333,0.11350197637818904,0.11900345926187696,0.9909918476071455,4.078246321021719,0.9498134463502608,43,True
0.9166666666666666,0.11663278593989339,0.1224240349806093,0.9910595813345484,4.073613857088069,0.9451815968990342,44,True
0.9375,0.11979306396147896,0.1258422763567354,0.9911270638056838,4.068962194931203,0.9405305220168891,45,True
0.9583333333333333,0.12300799935750736,0.12927379806194916,0.9911941585110152,4.06426247197433,0.9358313347428866,46,True
0.9791666666666666,0.12630286975631236,0.1327421545405854,0.9912605058616931,4.059480154832286,0.9310494896254013,47,True
1.0,0.12965396952757677,0.1362223390904184,0.9913264339928505,4.054649683575739,0.9262194176596341,48,True
1.0208333333333333,0.13302972730665802,0.1396810893797333,0.9913931714566817,4.049816896164173,0.9213869500305012,49,True
1.0416666666666665,0.13644741180036563,0.14313401805745027,0.9914604744266688,4.044958539671626,0.9165288256332675,50,True
1.0625,0.13993185339313002,0.14660427139184867,0.9915272116056407,4.040040689822031,0.911611111873118,51,True
1.0833333333333333,0.14345997480411762,0.15006606441156048,0.9915886770817519,4.03509790502262,0.9066683511335731,52,True
1.1041666666666665,0.1470004600279754,0.15348482709893985,0.991649224238655,4.030176762884272,0.9017471252905902,53,True
1.125,0.15057001737171505,0.15687451389648066,0.9917126217265664,4.025255574031425,0.8968257520229017,54,True
1.1458333333333333,0.1541928933177377,0.16025652234634524,0.9917772237304846,4.020302068423382,0.8918719603951064,55,True
1.1666666666666665,0.15784522033403586,0.1636035092608321,0.9918426714355159,4.015352461025665,0.88692196990157,56,True
1.1875,0.16149516109729659,0.1668800583371714,0.9919084436322047,4.010454313117918,0.8820233508943565,57,True
1.2083333333333333,0.16516003675055316,0.1700994425111299,0.991972579630118,4.0055860023209755,0.8771544926468551,58,True
1.2291666666666665,0.16886475820327163,0.1732828429395639,0.9920345365256361,4.000714947602693,0.872282836151155,59,True
1.25,0.17258635309014436,0.17641420766000712,0.9920967881406912,3.995868756377522,0.8674360369788836,60,True
1.2708333333333333,0.17629472430243076,0.17948349854536896,0.9921603152445432,3.9910758298530515,0.8626425548599863,61,True
1.2916666666666665,0.18000893621568712,0.18253065025412601,0.9922252667211754,3.9862944676802763,0.8578607353477667,62,True
1.3125,0.18375574463059763,0.1856029493757758,0.9922912563403852,3.981472326814831,0.8530382649717161,63,True
1.3333333333333333,0.18751369222346606,0.188699289483344,0.9923582559085324,3.976625367398178,0.8481911178933477,64,True
1.3541666666666665,0.19125336798964682,0.1918098787598065,0.9924249514163241,3.971781310850531,0.8433470106919982,65,True
1.375,0.19499482674883098,0.1949651289927976,0.9924915699866,3.966904463943325,0.8384702334706549,66,True
1.3958333333333333,0.19876633584970232,0.19819244273011585,0.9925580914499356,3.961955452948254,0.8335213908271915,67,True
1.4166666666666665,0.2025479473828588,0.20146956238841662,0.9926249903407324,3.9569641125107275,0.828530299112717,68,True
1.4375,0.20631183866941868,0.20476604997051218,0.992692803368221,3.951971631132834,0.8235381314026777,69,True
1.4583333333333333,0.21007918293149658,0.20810030071455457,0.99276082545023,3.9469500252765437,0.8185168889947756,70,True
1.4791666666666665,0.21387872355669832,0.2114982279183068,0.99282798189736,3.9418606441370376,0.8134279077932329,71,True
1.5,0.21769123129828052,0.21493683210427172,0.9928895350321311,3.936733352955967,0.8083010363498164,72,True
1.5208333333333333,0.22148912865941855,0.21838442805078573,0.9929502705033602,3.931610045637045,0.8031781719690472,73,True
1.5416666666666665,0.22529288376178874,0.22185776723719924,0.9930139101989344,3.9264643958418826,0.7980329914712043,74,True
