scenario,controller,vmax,lookahead,trial,seed,outcome,steps,path_length,min_clearance,avg_speed,max_speed,time_to_goal_s,safety_violation_magnitude,qp_feasibility_rate,tts_rate,fallback_count,avg_solve_ms,max_solve_ms
B,mtmpc,0.5,0.25,1,43,success,778,5.4927,0.0608,0.3389,0.8015,16.208,0.0,0.4524,0.9422,425,215.54,4225.32
B,mtmpc,0.5,0.25,2,44,success,691,5.3796,0.0609,0.3737,0.7562,14.396,0.0,0.5253,0.9334,327,188.88,4937.71
B,mtmpc,0.5,0.4,0,42,collision,291,5.3448,0.0492,0.8816,2.1187,,0.0008,0.8144,0.9966,53,194.8,6417.23
B,mtmpc,0.5,0.4,1,43,success,670,7.7338,0.0608,0.5541,1.4256,13.958,0.0,0.4806,0.9522,347,284.75,4989.53
B,mtmpc,0.5,0.4,2,44,success,426,5.6092,0.0607,0.632,1.2271,8.875,0.0,0.5869,0.9272,175,246.87,6108.7
B,mtmpc,0.5,0.6,0,42,collision,311,9.6201,0.0455,1.4848,3.7469,,0.0045,0.7395,0.9968,80,461.51,6410.92
B,mtmpc,0.5,0.6,1,43,collision,272,5.8512,0.0449,1.0326,2.1474,,0.0051,0.6029,0.9963,107,289.84,6739.44
B,mtmpc,0.5,0.6,2,44,collision,153,4.7043,0.0451,1.4759,3.0032,,0.0049,0.8889,0.9935,16,215.99,5633.2
B,mtmpc,1.0,0.1,0,42,timeout,2501,11.8098,0.1393,0.2267,0.3814,,0.0,0.9996,0.9952,0,69.51,158.46
B,mtmpc,1.0,0.1,1,43,timeout,2501,11.9172,0.136,0.2287,0.3934,,0.0,0.9996,0.9976,0,67.66,265.23
B,mtmpc,1.0,0.1,2,44,timeout,2501,11.9085,0.1534,0.2286,0.3992,,0.0,0.9996,0.9996,0,66.22,208.85
B,mtmpc,1.0,0.25,0,42,success,719,5.5394,0.0609,0.3698,0.819,14.979,0.0,0.5174,0.4019,346,134.68,1974.4
B,mtmpc,1.0,0.25,1,43,success,799,6.6594,0.0608,0.4001,0.756,16.646,0.0,0.6083,0.5319,312,163.43,2627.58
B,mtmpc,1.0,0.25,2,44,timeout,2501,26.7395,0.0615,0.5132,0.8696,,0.0,0.8689,0.8441,327,124.37,3343.75
B,mtmpc,1.0,0.4,0,42,success,630,8.9651,0.058,0.6831,1.6061,13.125,0.0,0.6143,0.5667,242,186.12,3109.17
B,mtmpc,1.0,0.4,1,43,success,639,10.4123,0.0607,0.7821,2.2905,13.312,0.0,0.723,0.6557,176,137.5,2302.5
B,mtmpc,1.0,0.4,2,44,success,414,5.9243,0.06,0.6869,1.5292,8.625,0.0,0.6546,0.529,142,167.38,2019.56
B,mtmpc,1.0,0.6,0,42,timeout,2501,7.489,0.0565,0.1437,4.8342,,0.0,0.0856,0.096,2286,983.65,3771.85
B,mtmpc,1.0,0.6,1,43,collision,150,3.7803,0.0493,1.2097,1.8602,,0.0007,0.98,0.9933,2,156.41,5004.19
B,mtmpc,1.0,0.6,2,44,timeout,2501,5.8524,0.0663,0.1123,4.5208,,0.0,0.998,0.9996,4,125.93,6284.42
C,apf,1.0,0.25,0,42,success,577,6.9591,0.2756,0.5789,0.8453,12.021,0.0,,,0,,
C,cbf,1.0,0.4,0,42,success,215,4.2686,0.2544,0.953,1.2045,4.479,0.0,0.9953,,0,,
C,mtmpc,1.0,0.4,0,42,success,231,4.5251,0.1531,0.9403,1.1736,4.812,0.0,0.9957,0.7403,0,122.18,213.1
