t,x,y,z,dist_to_goal,min_dist_to_obs,step_count
0.0,0.0,0.0,0.9974485415946975,4.242641454323001,1.114213562373095,0
0.020833333333333332,2.262168058038353e-06,2.261235549078638e-06,0.9941884817494826,4.242641468865,1.1142103638437304,1
0.041666666666666664,4.436464553169429e-05,4.431917550021095e-05,0.9921995994213448,4.242585149087217,1.1141508534418623,2
0.0625,0.00021263056103995302,0.0002126697369566479,0.9910014692420497,4.24234949788534,1.1139128296483412,3
0.08333333333333333,0.0005762437906292064,0.0005772895359592624,0.990296631886749,4.241836114315748,1.113397891135733,4
0.10416666666666666,0.0011431933948791672,0.001147234777618011,0.9898943263930771,4.241033149910861,1.1125939850833921,5
0.125,0.0019139295045485529,0.0019237314372890055,0.9896744237746485,4.239939624068031,1.111499926314244,6
0.14583333333333331,0.0029373026179761626,0.00295228846262315,0.9895615097199842,4.238488971243121,1.1100489926214043,7
0.16666666666666666,0.004264898196844278,0.004276633958691851,0.989507015663154,4.236613906027044,1.1081737870886441,8
0.1875,0.005897685008971672,0.005890543935019379,0.9894809966901719,4.234318216308618,1.1058780257576875,9
0.20833333333333331,0.007809613847646196,0.007774872146071145,0.9894669623888461,4.2316339004720565,1.1031936668606732,10
0.22916666666666666,0.00999938133291384,0.009935832895508895,0.9894597322892501,4.2285574987547765,1.1001172379288537,11
0.25,0.012471582069516372,0.01236558731038538,0.9894513361345235,4.2250913251832545,1.0966510334901285,12
0.2708333333333333,0.015183115304572583,0.015017331498423941,0.989443704008601,4.221298947220247,1.0928586265769014,13
0.29166666666666663,0.018083868583048994,0.017850832132899768,0.9894473414741559,4.217244222572015,1.0888039015926145,14
0.3125,0.021171510614171517,0.020874699519582537,0.9894529721587721,4.212922734270768,1.084482417972222,15
0.3333333333333333,0.024450069444158704,0.02410373665008754,0.9894576028316245,4.208321173768573,1.079880858562734,16
0.35416666666666663,0.027873276814534404,0.027502340173541386,0.989471432291775,4.203497406575259,1.0750571131044881,17
0.375,0.03138400964251789,0.031023211896761414,0.9894942369469679,4.198525269372483,1.07008501658075,18
0.3958333333333333,0.034970981847202105,0.034665041382550305,0.9895246085811455,4.1934136725479725,1.0649734752755844,19
0.41666666666666663,0.03862830183313189,0.038431622228738284,0.989560423203579,4.188164105629352,1.0597239746234908,20
0.4375,0.04230616873385741,0.04227523596409747,0.9896039633286732,4.182845521517558,1.054405477725503,21
0.4583333333333333,0.045954663270676675,0.04613689386095092,0.98965721810874,4.177534927968759,1.0490950039890454,22
0.47916666666666663,0.04957047334787287,0.05000299731464038,0.989717456370101,4.172244292739436,1.0438045208449602,23
